x,y,z,radius
279.3518,234.58748,444.48306,3.567168665
279.37177,234.589255,444.370144,3.568987084
279.390116,234.59016,444.256955,3.571203961
279.408707,234.591468,444.143856,3.576195144
279.428163,234.596369,444.030963,3.584020099
279.445081,234.59773,443.917539,3.581981307
279.463065,234.601678,443.804339,3.579284757
279.482101,234.598924,443.691345,3.586810439
279.500161,234.595345,443.578179,3.58522928
279.517259,234.598865,443.464828,3.585276729
279.534622,234.602066,443.351518,3.581440975
279.553235,234.601823,443.238376,3.572695755
279.57072,234.602924,443.125046,3.57710405
279.589557,234.603101,443.011927,3.581583142
279.607508,234.60447,442.898662,3.578223342
279.626293,234.606036,442.785538,3.581778817
279.644873,234.605881,442.672377,3.582017549
279.665787,234.606279,442.559617,3.585770377
279.686422,234.603726,442.44685,3.595225882
279.705614,234.600613,442.333825,3.597050556
279.728299,234.59951,442.221409,3.597541218
279.750088,234.594839,442.10892,3.599777746
279.771967,234.589416,441.996492,3.601499811
279.795165,234.587285,441.884198,3.606050202
279.818299,234.584993,441.771902,3.608492058
279.841919,234.58096,441.659757,3.607172457
279.866309,234.576708,441.547773,3.606135547
279.890244,234.571421,441.435745,3.610422797
279.915233,234.565027,441.323998,3.612404156
279.940697,234.560083,441.212288,3.615646229
279.966354,234.555786,441.100589,3.612622515
279.992513,234.550718,440.989046,3.613690279
280.018047,234.544788,440.877405,3.61565143
280.043856,234.539027,440.765809,3.618624608
280.070681,234.534011,440.654424,3.617351906
280.097662,234.527874,440.543131,3.614486891
280.123428,234.521802,440.431544,3.613536604
280.149908,234.515704,440.320128,3.619883107
280.178061,234.508836,440.209173,3.616751576
280.204091,234.502456,440.097666,3.619915324
280.231075,234.495917,439.986395,3.622336013
280.259188,234.488876,439.875433,3.625843337
280.284918,234.484124,439.763777,3.632203513
280.31302,234.478109,439.652787,3.635722932
280.341018,234.470303,439.541856,3.643197217
280.367809,234.466113,439.430441,3.644757116
280.394977,234.462302,439.319101,3.642700831
280.422098,234.454106,439.207979,3.650440662
280.449709,234.448436,439.096836,3.654425686
280.477282,234.444909,438.985577,3.651505342
280.504588,234.440493,438.874297,3.650649837
280.53055,234.434407,438.762757,3.644234807
280.559203,234.428941,438.651868,3.646042636
280.58649,234.424793,438.540551,3.648238642
280.614508,234.42138,438.429397,3.645182317
280.644156,234.418768,438.318646,3.64480064
280.672222,234.417008,438.20746,3.651932527
280.701828,234.415449,438.096686,3.651332628
280.731473,234.414017,437.985913,3.653377685
280.761493,234.412245,437.875243,3.663747288
280.790625,234.409935,437.764361,3.664803245
280.820363,234.410705,437.6536,3.664669239
280.850134,234.409087,437.542865,3.665670115
280.878269,234.408772,437.431687,3.66724918
280.907332,234.406567,437.320774,3.67319533
280.935627,234.405912,437.209633,3.673129727
280.963708,234.404839,437.098445,3.671105592
280.991095,234.4024,436.987102,3.678175738
281.018867,234.400614,436.875843,3.678115307
281.046723,234.398466,436.764613,3.679814407
281.074484,234.395642,436.653372,3.679437612
281.102046,234.392792,436.542087,3.676296161
281.12996,234.389293,436.430903,3.676691775
281.158129,234.385807,436.319784,3.674135079
281.186511,234.382442,436.208715,3.672188877
281.215044,234.379134,436.097682,3.672914026
281.244875,234.376053,435.986989,3.663040667
281.274349,234.373231,435.876195,3.656093527
281.303095,234.369141,435.765243,3.655737449
281.33292,234.365825,435.654573,3.652129064
281.365572,234.364539,435.544639,3.649634626
281.398654,234.363411,435.434834,3.648174993
281.432355,234.362511,435.325213,3.63953495
281.466953,234.361358,435.215882,3.640527306
281.501166,234.361148,435.106444,3.643880621
281.536743,234.361119,434.997429,3.646832861
281.574328,234.362745,434.889091,3.646341039
281.612659,234.364888,434.781031,3.649243188
281.650539,234.367192,434.672814,3.646154089
281.688696,234.368564,434.564669,3.649898532
281.726733,234.370986,434.456508,3.657444371
281.765591,234.373334,434.348647,3.658820512
281.805614,234.374548,434.241176,3.661061904
281.843491,234.378788,434.133014,3.66196119
281.88455,234.380764,434.025947,3.662013864
281.922488,234.382331,433.917735,3.671801399
281.960076,234.381798,433.809395,3.68322524
281.998936,234.384068,433.701524,3.681532423
282.0387,234.385606,433.593961,3.68720401
282.074033,234.384235,433.484864,3.685894838
282.110897,234.383598,433.37629,3.689035761
282.14831,234.382955,433.267902,3.695266691
282.18419,234.381436,433.158987,3.690998506
282.220293,234.381065,433.050132,3.685048376
282.256147,234.381257,432.941195,3.688352138
282.290575,234.378472,432.831849,3.683936981
282.324798,234.376074,432.722422,3.682665038
282.358373,234.374062,432.612779,3.687314931
282.392753,234.370287,432.503431,3.681630492
282.425613,234.367836,432.393592,3.681086633
282.458778,234.363181,432.283906,3.681978913
282.49201,234.359129,432.174223,3.678217369
282.524644,234.354889,432.064362,3.681988475
282.556096,234.348183,431.954292,3.681616147
282.589507,234.343416,431.844696,3.6785616
282.621367,234.337801,431.734681,3.67707063
282.653019,234.329491,431.624771,3.67462791
282.68492,234.32221,431.514857,3.670861553
282.716616,234.314974,431.404876,3.667742137
282.747946,234.307219,431.294832,3.657997159
282.778937,234.299282,431.184702,3.651181203
282.81067,234.292218,431.074724,3.644984668
282.843253,234.284384,430.96505,3.644427525
282.875167,234.281129,430.854952,3.647172636
282.90809,234.276888,430.745174,3.641782627
282.94311,234.273811,430.636016,3.6407656
282.972966,234.269145,430.525387,3.643237581
283.002992,234.263606,430.414843,3.643657642
283.035789,234.259288,430.305047,3.641646381
283.067065,234.256002,430.194755,3.63928713
283.098626,234.252278,430.084559,3.637278618
283.132113,234.251033,429.974924,3.643945335
283.166222,234.250687,429.865447,3.646105691
283.198932,234.248541,429.755549,3.643054963
283.229476,234.246228,429.645045,3.644022368
283.259179,234.241492,429.534382,3.648914939
283.291514,234.239577,429.424375,3.651286715
283.323562,234.237518,429.314287,3.647816309
283.357781,234.235646,429.20484,3.644297048
283.38804,234.234182,429.094235,3.646704627
283.420077,234.231572,428.984145,3.65250323
283.451878,234.228611,428.874002,3.654841346
283.48268,234.22718,428.763546,3.653455886
283.511659,234.225124,428.65264,3.651702012
283.539415,234.221653,428.541418,3.653264279
283.568082,234.219135,428.43041,3.654949238
283.597752,234.218485,428.319628,3.655323601
283.62781,234.21638,428.208972,3.6539938
283.6544,234.214777,428.097447,3.652339954
283.68018,234.212737,427.98572,3.657120403
283.704447,234.210618,427.873681,3.656918755
283.728312,234.208278,427.761543,3.658508821
283.755133,234.207467,427.650042,3.657796474
283.780809,234.205928,427.538276,3.656839483
283.806655,234.204446,427.426554,3.658306819
283.831312,234.203319,427.314565,3.660629072
283.858885,234.202375,427.203274,3.660030114
283.885396,234.200498,427.091718,3.66220718
283.912827,234.199491,426.980363,3.660468304
283.937292,234.197787,426.868337,3.662127505
283.963494,234.195136,426.756729,3.665362572
283.993817,234.193582,426.646147,3.663539964
284.023731,234.192468,426.535439,3.664793324
284.053607,234.19011,426.424746,3.666239457
284.083908,234.188568,426.314153,3.666266527
284.11506,234.185286,426.203831,3.668742211
284.144548,234.182855,426.093026,3.668342418
284.174682,234.179481,425.982433,3.666787544
284.204408,234.174973,425.87179,3.669255703
284.230372,234.167288,425.760344,3.669251029
284.254213,234.159814,425.648424,3.668986839
284.27824,234.151345,425.536606,3.669879621
284.302232,234.143763,425.424718,3.669782059
284.323723,234.135961,425.312354,3.671739783
284.344292,234.124518,425.20012,3.673977256
284.364473,234.114549,425.087663,3.672225714
284.385402,234.107383,424.975129,3.673536224
284.405367,234.094489,424.862964,3.674742419
284.427483,234.0871,424.750672,3.674060405
284.45099,234.080676,424.638676,3.673517688
284.472077,234.070843,424.526373,3.671823758
284.49469,234.063344,424.414255,3.671215671
284.520638,234.059501,424.302607,3.67338205
284.545546,234.055791,424.190723,3.673716619
284.57251,234.052911,424.079306,3.670808819
284.599522,234.051896,423.96785,3.669822331
284.62966,234.052076,423.857228,3.666307588
284.658577,234.053543,423.746258,3.664484518
284.685597,234.051117,423.634888,3.662047508
284.710839,234.042779,423.523324,3.662562981
284.732434,234.034917,423.410969,3.658136468
284.755194,234.026521,423.298898,3.657997335
284.781665,234.018735,423.187583,3.657650968
284.807317,234.015656,423.075891,3.660031118
284.831968,234.008956,422.964107,3.661801677
284.85651,234.001497,422.852325,3.661889495
284.880689,233.99526,422.740389,3.662176023
284.905356,233.988606,422.628583,3.669211373
284.930024,233.981951,422.516778,3.670354873
284.955659,233.975168,422.405229,3.664183722
284.980854,233.971311,422.293441,3.658239332
285.009628,233.969937,422.18243,3.660697329
285.035126,233.963919,422.070828,3.661529982
285.058637,233.956321,421.958838,3.658087127
285.081282,233.948692,421.84667,3.647753719
285.105555,233.941172,421.734843,3.647785215
285.129372,233.933077,421.622961,3.655160776
285.151451,233.925543,421.510673,3.668058145
285.173997,233.914262,421.398814,3.670146274
285.19559,233.904178,421.286638,3.67435891
285.216905,233.894276,421.174388,3.679410367
285.240431,233.883888,421.062621,3.68837405
285.2631,233.875596,420.950522,3.695417863
285.286733,233.866401,420.838714,3.701322555
285.310203,233.855209,420.727016,3.704093212
285.331935,233.846581,420.61475,3.710603454
285.355692,233.837288,420.502943,3.710576885
285.379059,233.826607,420.39119,3.711170218
285.403934,233.818412,420.279533,3.722024734
285.427207,233.810507,420.167526,3.722495771
285.449512,233.801729,420.055377,3.72518336
285.473664,233.790923,419.943783,3.730177256
285.497006,233.783565,419.831742,3.726671186
285.518625,233.774117,419.71952,3.736210851
285.541567,233.765322,419.607507,3.744520253
285.564126,233.758639,419.495258,3.74476176
285.586645,233.750741,419.383094,3.744607728
285.608443,233.742457,419.270815,3.750385245
285.631226,233.736472,419.158578,3.754739489
285.653279,233.730039,419.046238,3.758274235
285.67297,233.721168,418.933616,3.758041582
285.695448,233.715496,418.821298,3.760047348
285.71762,233.70955,418.708933,3.755211777
285.738944,233.703072,418.596435,3.763359684
285.762077,233.697573,418.484244,3.762019391
285.784113,233.69092,418.371893,3.755225251
285.80611,233.684376,418.259527,3.759536824
285.830218,233.677488,418.147623,3.763697536
285.852916,233.670729,418.035415,3.763868262
285.876524,233.663464,417.923426,3.769252888
285.900921,233.656698,417.811568,3.765331322
285.926464,233.649619,417.699991,3.766681904
285.952322,233.642355,417.588494,3.763824196
285.978976,233.635846,417.477151,3.761993723
286.006091,233.629257,417.365924,3.76052446
286.032575,233.622842,417.254534,3.753777208
286.061203,233.614806,417.143768,3.752101939
286.089816,233.608189,417.032924,3.750011878
286.120031,233.603583,416.922384,3.740184413
286.148919,233.596772,416.811618,3.740595435
286.178342,233.591197,416.700926,3.730435669
286.207719,233.585373,416.590247,3.718955118
286.235462,233.576204,416.479344,3.727987113
286.262423,233.569442,416.368084,3.725799449
