x,y,z,radius
120.206,249.247,228.558,3.411558908059278
120.069,249.312,228.163,3.4045326285590582
119.933,249.375,227.768,3.389986869848102
119.798,249.435,227.372,3.3709625586963674
119.663,249.491,226.976,3.3531593448147348
119.528,249.544,226.579,3.336885308140827
119.394,249.594,226.181,3.3221147404458704
119.26,249.639,225.782,3.306372890257913
119.126,249.681,225.381,3.292091700149412
118.993,249.719,224.977,3.2843088663265037
118.86,249.752,224.572,3.285242823301021
118.727,249.78,224.163,3.2925388262281925
118.594,249.803,223.752,3.29986996056695
118.462,249.822,223.338,3.3055929326200464
118.33,249.836,222.921,3.309214225421877
118.197,249.846,222.501,3.314239631032944
118.065,249.854,222.079,3.320378756125543
117.933,249.859,221.655,3.3252058384437597
117.802,249.862,221.229,3.3293994794959154
117.67,249.865,220.803,3.335949469950029
117.539,249.867,220.375,3.3469646537105255
117.408,249.869,219.947,3.3583706225434202
117.277,249.873,219.519,3.367139186342507
117.146,249.879,219.091,3.3712025125187695
117.016,249.887,218.664,3.3694716975411363
116.886,249.898,218.237,3.3614067575654087
116.756,249.913,217.811,3.352726383702329
116.626,249.933,217.387,3.349054188138421
116.497,249.958,216.965,3.349905194820194
116.368,249.989,216.545,3.3542717229553998
116.24,250.026,216.128,3.358810714229939
116.111,250.069,215.713,3.364285105321759
115.982,250.117,215.3,3.3686620420527866
115.853,250.17,214.889,3.3696192222186596
115.723,250.227,214.48,3.3685183834944503
115.593,250.288,214.073,3.365047169396098
115.461,250.352,213.669,3.3609899023903456
115.328,250.418,213.265,3.3553322789552698
115.194,250.486,212.864,3.348332751441815
115.058,250.555,212.464,3.341829969303958
114.921,250.626,212.066,3.3350544631800534
114.781,250.697,211.669,3.32776812202411
114.639,250.768,211.274,3.318121619657019
114.495,250.838,210.879,3.3068030240247612
114.347,250.906,210.486,3.2958890605365085
114.197,250.973,210.095,3.2883466002987967
114.044,251.038,209.704,3.285290660963179
113.888,251.101,209.314,3.2822888400134573
113.729,251.162,208.925,3.276585381921697
113.567,251.222,208.537,3.270059347044737
113.402,251.281,208.15,3.266964141640713
113.235,251.341,207.765,3.267650116175346
113.066,251.4,207.38,3.2693851558587483
112.894,251.461,206.996,3.2716672317371045
112.72,251.523,206.614,3.275293088899921
112.545,251.587,206.233,3.2809648886983798
112.367,251.654,205.853,3.290585396236061
112.188,251.724,205.474,3.3031581543405473
112.007,251.797,205.097,3.3205477497870413
111.825,251.874,204.721,3.341129949721576
111.642,251.956,204.346,3.3657670393440533
111.458,252.043,203.972,3.393214442589281
111.273,252.136,203.6,3.4233684671072866
111.087,252.234,203.229,3.4559338620671567
110.9,252.338,202.86,3.4844112752622265
110.712,252.447,202.492,3.504858718625195
110.524,252.56,202.124,3.5167126647472244
110.334,252.678,201.758,3.5254177678046417
110.144,252.799,201.393,3.5324746784180405
109.953,252.923,201.029,3.5366302132572573
109.761,253.049,200.666,3.536845476763746
109.567,253.176,200.304,3.534073622249057
109.373,253.306,199.943,3.5315104622987774
109.178,253.435,199.582,3.529725012751752
108.982,253.565,199.222,3.528612842018997
108.784,253.695,198.863,3.5257123345879458
108.586,253.824,198.504,3.5222088180130453
108.386,253.951,198.146,3.516904773892545
108.185,254.076,197.788,3.510543567548367
107.983,254.199,197.431,3.5019892400074633
107.78,254.319,197.073,3.4915171779133782
107.576,254.436,196.716,3.4803396614321325
107.371,254.55,196.359,3.47078025778038
107.166,254.661,196.002,3.4663170090715085
106.96,254.768,195.644,3.46705382493029
106.753,254.873,195.285,3.47113220412629
106.547,254.974,194.926,3.4740654853683424
106.34,255.072,194.566,3.4739129524853207
106.134,255.167,194.205,3.4688612143126494
105.928,255.258,193.842,3.4597510410968417
105.722,255.346,193.479,3.4475571981915074
105.517,255.43,193.113,3.4334526575115376
105.313,255.511,192.746,3.4205172405774924
105.11,255.588,192.377,3.4092232958010573
104.908,255.661,192.005,3.3997270173362875
104.707,255.73,191.632,3.3933649937326855
104.508,255.796,191.255,3.3907568145665774
104.31,255.859,190.877,3.3916361423730614
104.113,255.919,190.498,3.3942710817690913
103.915,255.978,190.117,3.3971634308836585
103.717,256.036,189.737,3.4012994053594543
103.519,256.095,189.357,3.4055983521223165
103.318,256.156,188.978,3.411290492405304
103.116,256.218,188.601,3.4183583175481567
102.912,256.284,188.226,3.4266749540374115
102.704,256.354,187.854,3.4343175365190373
102.493,256.43,187.486,3.4408643591951065
102.277,256.511,187.123,3.4461986176195265
102.057,256.599,186.764,3.4518875644026004
101.832,256.695,186.412,3.459232454213615
101.601,256.801,186.065,3.468037077759893
101.364,256.915,185.725,3.4767172072476242
101.12,257.041,185.393,3.4833416030358406
100.869,257.177,185.069,3.489156053426928
100.612,257.324,184.753,3.4959571532364144
100.349,257.48,184.443,3.502645336208829
100.081,257.643,184.138,3.5053214247069575
